apID,scanDt,sqMetric,sqMetVal,sqMetricDesc
A1208,2015-04-06T17:05:31-0400,weighted_violations,200854,Weighted Issues
A1208,2015-07-29T17:58:03-0400,weighted_violations,240746,Weighted Issues
A1208,2014-10-06T11:56:20-0400,violations_density,68.2,Rules compliance
A1208,2015-04-06T17:05:31-0400,violations_density,55.1,Rules compliance
A1208,2015-07-29T17:58:03-0400,violations_density,51.5,Rules compliance
A1208,2014-10-06T11:56:20-0400,violations,34171,Issues
A1208,2015-04-06T17:05:31-0400,violations,31273,Issues
A1208,2015-07-29T17:58:03-0400,violations,37528,Issues
A1208,2014-10-06T11:56:20-0400,blocker_violations,12810,Blocker issues
A1208,2015-04-06T17:05:31-0400,blocker_violations,16407,Blocker issues
A1208,2015-07-29T17:58:03-0400,blocker_violations,19354,Blocker issues
A1208,2014-10-06T11:56:20-0400,critical_violations,0,Critical issues
A1208,2015-04-06T17:05:31-0400,critical_violations,0,Critical issues
A1208,2015-07-29T17:58:03-0400,critical_violations,0,Critical issues
A1208,2014-10-06T11:56:20-0400,major_violations,16785,Major issues
A1208,2015-04-06T17:05:31-0400,major_violations,10959,Major issues
A1208,2015-07-29T17:58:03-0400,major_violations,14516,Major issues
A1208,2014-10-06T11:56:20-0400,minor_violations,4576,Minor issues
A1208,2015-04-06T17:05:31-0400,minor_violations,3907,Minor issues
A1208,2015-07-29T17:58:03-0400,minor_violations,3658,Minor issues
A1208,2014-10-06T11:56:20-0400,info_violations,0,Info issues
A1208,2015-04-06T17:05:31-0400,info_violations,0,Info issues
A1208,2015-07-29T17:58:03-0400,info_violations,0,Info issues
A1208,2014-10-06T11:56:20-0400,false_positive_issues,0,False positive issues
A1208,2015-04-06T17:05:31-0400,false_positive_issues,0,False positive issues
A1208,2015-07-29T17:58:03-0400,false_positive_issues,0,False positive issues
A1208,2014-10-06T11:56:20-0400,open_issues,34171,Open issues
A1208,2015-04-06T17:05:31-0400,open_issues,31273,Open issues
A1208,2015-07-29T17:58:03-0400,open_issues,37528,Open issues
A1208,2014-10-06T11:56:20-0400,reopened_issues,0,Reopened issues
A1208,2015-04-06T17:05:31-0400,reopened_issues,0,Reopened issues
A1208,2015-07-29T17:58:03-0400,reopened_issues,0,Reopened issues
A1208,2014-10-06T11:56:20-0400,confirmed_issues,0,Confirmed issues
A1208,2015-04-06T17:05:31-0400,confirmed_issues,0,Confirmed issues
A1208,2015-07-29T17:58:03-0400,confirmed_issues,0,Confirmed issues
A1208,2014-10-06T11:56:20-0400,sqale_index,636690,null
A1208,2015-04-06T17:05:31-0400,sqale_index,693875,null
A1208,2015-07-29T17:58:03-0400,sqale_index,806122,null
A1208,2014-10-06T11:56:20-0400,quality_profiles,"[{""key"":""cs-sonar-way-52130"",""language"":""cs"",""name"":""Sonar way"",""rulesUpdatedAt"":""2014-09-29T16:46:18+0000""}]",Details of quality profiles used during analysis
A1208,2015-04-06T17:05:31-0400,quality_profiles,"[{""key"":""cs-sonar-way-52130"",""language"":""cs"",""name"":""Sonar way"",""rulesUpdatedAt"":""2014-09-29T16:46:18+0000""}]",Details of quality profiles used during analysis
A1208,2015-07-29T17:58:03-0400,quality_profiles,"[{""key"":""cs-sonar-way-52130"",""language"":""cs"",""name"":""Sonar way"",""rulesUpdatedAt"":""2014-09-29T16:46:18+0000""}]",Details of quality profiles used during analysis
A1171,2015-02-19T13:30:52-0500,lines,2468553,Lines
A1171,2015-07-20T15:02:20-0400,lines,2550623,Lines
A1171,2015-02-19T13:30:52-0500,generated_lines,0,Number of generated lines
A1171,2015-07-20T15:02:20-0400,generated_lines,0,Number of generated lines
A1171,2015-02-19T13:30:52-0500,ncloc,1922297,Non Commenting Lines of Code
A1171,2015-07-20T15:02:20-0400,ncloc,1979416,Non Commenting Lines of Code
A1171,2015-02-19T13:30:52-0500,ncloc_language_distribution,cobol=1922297,Non Commenting Lines of Code Distributed By Language
A1171,2015-07-20T15:02:20-0400,ncloc_language_distribution,cobol=1979416,Non Commenting Lines of Code Distributed By Language
A1171,2015-02-19T13:30:52-0500,generated_ncloc,0,Generated non Commenting Lines of Code
A1171,2015-07-20T15:02:20-0400,generated_ncloc,0,Generated non Commenting Lines of Code
A1171,2015-02-19T13:30:52-0500,files,4163,Number of files
A1171,2015-07-20T15:02:20-0400,files,4245,Number of files
A1171,2015-02-19T13:30:52-0500,directories,2,Directories
A1171,2015-07-20T15:02:20-0400,directories,2,Directories
A1171,2015-02-19T13:30:52-0500,functions,69158,Functions
A1171,2015-07-20T15:02:20-0400,functions,71247,Functions
A1171,2015-02-19T13:30:52-0500,statements,644790,Number of statements
A1171,2015-07-20T15:02:20-0400,statements,663107,Number of statements
A1171,2015-02-19T13:30:52-0500,public_api,43629,Public API
A1171,2015-07-20T15:02:20-0400,public_api,44635,Public API
A1171,2015-02-19T13:30:52-0500,comment_lines,96234,Number of comment lines
A1171,2015-07-20T15:02:20-0400,comment_lines,102266,Number of comment lines
A1171,2015-02-19T13:30:52-0500,comment_lines_density,4.8,Comments balanced by ncloc + comment lines
A1171,2015-07-20T15:02:20-0400,comment_lines_density,4.9,Comments balanced by ncloc + comment lines
A1171,2015-02-19T13:30:52-0500,public_documented_api_density,10.5,Public documented classes and functions balanced by ncloc
A1171,2015-07-20T15:02:20-0400,public_documented_api_density,10.3,Public documented classes and functions balanced by ncloc
A1171,2015-02-19T13:30:52-0500,public_undocumented_api,39059,"Public undocumented classes, functions and variables"
A1171,2015-07-20T15:02:20-0400,public_undocumented_api,40025,"Public undocumented classes, functions and variables"
A1171,2015-02-19T13:30:52-0500,complexity,273120,Cyclomatic complexity
A1171,2015-07-20T15:02:20-0400,complexity,279963,Cyclomatic complexity
A1171,2015-02-19T13:30:52-0500,file_complexity,97.7,Complexity average by file
A1171,2015-07-20T15:02:20-0400,file_complexity,98.2,Complexity average by file
A1171,2015-02-19T13:30:52-0500,function_complexity,3.9,Complexity average by function
A1171,2015-07-20T15:02:20-0400,function_complexity,3.9,Complexity average by function
A1171,2015-02-19T13:30:52-0500,function_complexity_distribution,1=10839;2=46236;5=5976;8=2476;11=1374;15=862;20=1395,Functions distribution /complexity
A1171,2015-07-20T15:02:20-0400,function_complexity_distribution,1=11079;2=47874;5=6056;8=2503;11=1423;15=895;20=1417,Functions distribution /complexity
A1171,2015-02-19T13:30:52-0500,file_complexity_distribution,0=2363;150=320;400=97;1000=10;1500=5;2500=1;5000=0,Files distribution /complexity
A1171,2015-07-20T15:02:20-0400,file_complexity_distribution,0=2417;150=317;400=99;1000=12;1500=5;2500=1;5000=0,Files distribution /complexity
A1171,2015-02-19T13:30:52-0500,duplicated_lines,561897,Duplicated lines
A1171,2015-07-20T15:02:20-0400,duplicated_lines,529769,Duplicated lines
A1171,2015-02-19T13:30:52-0500,duplicated_blocks,6316,Duplicated blocks
A1171,2015-07-20T15:02:20-0400,duplicated_blocks,7019,Duplicated blocks
A1171,2015-02-19T13:30:52-0500,duplicated_files,1029,Duplicated files
A1171,2015-07-20T15:02:20-0400,duplicated_files,1049,Duplicated files
A1171,2015-02-19T13:30:52-0500,duplicated_lines_density,22.8,Duplicated lines balanced by statements
A1171,2015-07-20T15:02:20-0400,duplicated_lines_density,20.8,Duplicated lines balanced by statements
A1171,2015-02-19T13:30:52-0500,weighted_violations,166798,Weighted Issues
A1171,2015-07-20T15:02:20-0400,weighted_violations,169157,Weighted Issues
A1171,2015-02-19T13:30:52-0500,violations_density,91.3,Rules compliance
A1171,2015-07-20T15:02:20-0400,violations_density,91.5,Rules compliance
A1171,2015-02-19T13:30:52-0500,violations,77660,Issues
A1171,2015-07-20T15:02:20-0400,violations,78632,Issues
A1171,2015-02-19T13:30:52-0500,blocker_violations,8,Blocker issues
A1171,2015-07-20T15:02:20-0400,blocker_violations,11,Blocker issues
A1171,2015-02-19T13:30:52-0500,critical_violations,15709,Critical issues
A1171,2015-07-20T15:02:20-0400,critical_violations,15914,Critical issues
A1171,2015-02-19T13:30:52-0500,major_violations,18738,Major issues
A1171,2015-07-20T15:02:20-0400,major_violations,19140,Major issues
A1171,2015-02-19T13:30:52-0500,minor_violations,31959,Minor issues
A1171,2015-07-20T15:02:20-0400,minor_violations,32057,Minor issues
A1171,2015-02-19T13:30:52-0500,info_violations,11246,Info issues
A1171,2015-07-20T15:02:20-0400,info_violations,11510,Info issues
A1171,2015-02-19T13:30:52-0500,false_positive_issues,0,False positive issues
A1171,2015-07-20T15:02:20-0400,false_positive_issues,0,False positive issues
A1171,2015-02-19T13:30:52-0500,open_issues,77660,Open issues
A1171,2015-07-20T15:02:20-0400,open_issues,78632,Open issues
A1171,2015-02-19T13:30:52-0500,reopened_issues,0,Reopened issues
A1171,2015-07-20T15:02:20-0400,reopened_issues,0,Reopened issues
A1171,2015-02-19T13:30:52-0500,confirmed_issues,0,Confirmed issues
A1171,2015-07-20T15:02:20-0400,confirmed_issues,0,Confirmed issues
A1171,2015-02-19T13:30:52-0500,sqale_index,5255755,null
A1171,2015-07-20T15:02:20-0400,sqale_index,5411056,null
A1171,2015-02-19T13:30:52-0500,quality_profiles,"[{""key"":""cobol-aetna-official-82574"",""language"":""cobol"",""name"":""Aetna Official"",""rulesUpdatedAt"":""2015-02-02T15:02:12+0000""}]",Details of quality profiles used during analysis
A1171,2015-07-20T15:02:20-0400,quality_profiles,"[{""key"":""cobol-aetna-official-82574"",""language"":""cobol"",""name"":""Aetna Official"",""rulesUpdatedAt"":""2015-04-29T00:01:18+0000""}]",Details of quality profiles used during analysis
A1171,2015-02-19T13:30:52-0500,cobol_data_division_ncloc,457791,LOCs in Data Divisions
A1171,2015-07-20T15:02:20-0400,cobol_data_division_ncloc,475194,LOCs in Data Divisions
A1171,2015-02-19T13:30:52-0500,cobol_procedure_division_ncloc,1309325,LOCs in Procedure Divisions
A1171,2015-07-20T15:02:20-0400,cobol_procedure_division_ncloc,1346729,LOCs in Procedure Divisions
A1171,2015-02-19T13:30:52-0500,cobol_outside_ctrlflow_statements,52935,Outside Control Flow Statements
A1171,2015-07-20T15:02:20-0400,cobol_outside_ctrlflow_statements,54057,Outside Control Flow Statements
A1171,2015-02-19T13:30:52-0500,cobol_inside_ctrlflow_statements,148827,Inside Control Flow Statements
A1171,2015-07-20T15:02:20-0400,cobol_inside_ctrlflow_statements,154165,Inside Control Flow Statements
A1139,2015-03-23T10:09:02-0400,lines,823245,Lines
A1139,2015-07-20T13:16:43-0400,lines,831985,Lines
A1139,2015-03-23T10:09:02-0400,ncloc,427550,Non Commenting Lines of Code
A1139,2015-07-20T13:16:43-0400,ncloc,433065,Non Commenting Lines of Code
A1139,2015-03-23T10:09:02-0400,ncloc_language_distribution,java=427550,Non Commenting Lines of Code Distributed By Language
A1139,2015-07-20T13:16:43-0400,ncloc_language_distribution,java=433065,Non Commenting Lines of Code Distributed By Language
A1139,2015-03-23T10:09:02-0400,classes,4980,Classes
A1139,2015-07-20T13:16:43-0400,classes,5012,Classes
A1139,2015-03-23T10:09:02-0400,files,5018,Number of files
A1139,2015-07-20T13:16:43-0400,files,5049,Number of files
A1139,2015-03-23T10:09:02-0400,directories,721,Directories
A1139,2015-07-20T13:16:43-0400,directories,724,Directories
A1139,2015-03-23T10:09:02-0400,functions,27670,Functions
A1139,2015-07-20T13:16:43-0400,functions,27989,Functions
A1139,2015-03-23T10:09:02-0400,accessors,11728,Accessors
A1139,2015-07-20T13:16:43-0400,accessors,11998,Accessors
A1139,2015-03-23T10:09:02-0400,statements,194673,Number of statements
A1139,2015-07-20T13:16:43-0400,statements,197371,Number of statements
A1139,2015-03-23T10:09:02-0400,public_api,25506,Public API
A1139,2015-07-20T13:16:43-0400,public_api,25833,Public API
A1139,2015-03-23T10:09:02-0400,comment_lines,106634,Number of comment lines
A1139,2015-07-20T13:16:43-0400,comment_lines,108251,Number of comment lines
A1139,2015-03-23T10:09:02-0400,comment_lines_density,20,Comments balanced by ncloc + comment lines
A1139,2015-07-20T13:16:43-0400,comment_lines_density,20,Comments balanced by ncloc + comment lines
A1139,2015-03-23T10:09:02-0400,public_documented_api_density,47.7,Public documented classes and functions balanced by ncloc
A1139,2015-07-20T13:16:43-0400,public_documented_api_density,47.3,Public documented classes and functions balanced by ncloc
A1139,2015-03-23T10:09:02-0400,public_undocumented_api,13330,"Public undocumented classes, functions and variables"
A1139,2015-07-20T13:16:43-0400,public_undocumented_api,13605,"Public undocumented classes, functions and variables"
A1139,2015-03-23T10:09:02-0400,complexity,73479,Cyclomatic complexity
A1139,2015-07-20T13:16:43-0400,complexity,74509,Cyclomatic complexity
A1139,2015-03-23T10:09:02-0400,file_complexity,14.7,Complexity average by file
A1139,2015-07-20T13:16:43-0400,file_complexity,14.9,Complexity average by file
A1139,2015-03-23T10:09:02-0400,class_complexity,14.8,Complexity average by class
A1139,2015-07-20T13:16:43-0400,class_complexity,14.9,Complexity average by class
A1139,2015-07-20T13:16:43-0400,complexity_in_functions,74470,Cyclomatic complexity in functions
A1139,2015-03-23T10:09:02-0400,function_complexity,2.7,Complexity average by function
A1139,2015-07-20T13:16:43-0400,function_complexity,2.7,Complexity average by function
A1139,2015-03-23T10:09:02-0400,function_complexity_distribution,1=14357;2=3343;4=1862;6=983;8=681;10=429;12=1110,Functions distribution /complexity
A1139,2015-07-20T13:16:43-0400,function_complexity_distribution,1=14530;2=3372;4=1877;6=994;8=688;10=433;12=1136,Functions distribution /complexity
A1139,2015-03-23T10:09:02-0400,file_complexity_distribution,0=2694;5=749;10=639;20=209;30=267;60=103;90=140,Files distribution /complexity
A1139,2015-07-20T13:16:43-0400,file_complexity_distribution,0=2716;5=747;10=636;20=216;30=269;60=104;90=144,Files distribution /complexity
A1139,2015-03-23T10:09:02-0400,tests,0,Number of unit tests
A1139,2015-07-20T13:16:43-0400,tests,0,Number of unit tests
A1139,2015-03-23T10:09:02-0400,duplicated_lines,142203,Duplicated lines
A1139,2015-07-20T13:16:43-0400,duplicated_lines,143080,Duplicated lines
A1139,2015-03-23T10:09:02-0400,duplicated_blocks,29395,Duplicated blocks
A1139,2015-07-20T13:16:43-0400,duplicated_blocks,29429,Duplicated blocks
A1139,2015-03-23T10:09:02-0400,duplicated_files,1488,Duplicated files
A1139,2015-07-20T13:16:43-0400,duplicated_files,1498,Duplicated files
A1139,2015-03-23T10:09:02-0400,duplicated_lines_density,17.3,Duplicated lines balanced by statements
A1139,2015-07-20T13:16:43-0400,duplicated_lines_density,17.2,Duplicated lines balanced by statements
A1139,2015-03-23T10:09:02-0400,weighted_violations,637783,Weighted Issues
A1139,2015-07-20T13:16:43-0400,weighted_violations,476127,Weighted Issues
A1139,2015-03-23T10:09:02-0400,violations_density,0,Rules compliance
A1139,2015-07-20T13:16:43-0400,violations_density,0,Rules compliance
A1139,2015-03-23T10:09:02-0400,violations,316320,Issues
A1139,2015-07-20T13:16:43-0400,violations,317790,Issues
A1139,2015-03-23T10:09:02-0400,blocker_violations,5,Blocker issues
A1139,2015-07-20T13:16:43-0400,blocker_violations,5,Blocker issues
A1139,2015-03-23T10:09:02-0400,critical_violations,751,Critical issues
A1139,2015-07-20T13:16:43-0400,critical_violations,752,Critical issues
A1139,2015-03-23T10:09:02-0400,major_violations,163039,Major issues
A1139,2015-07-20T13:16:43-0400,major_violations,81528,Major issues
A1139,2015-03-23T10:09:02-0400,minor_violations,144861,Minor issues
A1139,2015-07-20T13:16:43-0400,minor_violations,227733,Minor issues
A1139,2015-03-23T10:09:02-0400,info_violations,7664,Info issues
A1139,2015-07-20T13:16:43-0400,info_violations,7772,Info issues
A1139,2015-03-23T10:09:02-0400,false_positive_issues,0,False positive issues
A1139,2015-07-20T13:16:43-0400,false_positive_issues,0,False positive issues
A1139,2015-03-23T10:09:02-0400,open_issues,316320,Open issues
A1139,2015-07-20T13:16:43-0400,open_issues,317790,Open issues
A1139,2015-03-23T10:09:02-0400,reopened_issues,0,Reopened issues
A1139,2015-07-20T13:16:43-0400,reopened_issues,0,Reopened issues
A1139,2015-03-23T10:09:02-0400,confirmed_issues,0,Confirmed issues
A1139,2015-07-20T13:16:43-0400,confirmed_issues,0,Confirmed issues
A1139,2015-03-23T10:09:02-0400,sqale_index,10460000,null
A1139,2015-07-20T13:16:43-0400,sqale_index,10511726,null
A1139,2015-03-23T10:09:02-0400,quality_profiles,"[{""key"":""java-aetna-official-73943"",""language"":""java"",""name"":""Aetna Official"",""rulesUpdatedAt"":""2014-10-02T15:15:06+0000""}]",Details of quality profiles used during analysis
A1139,2015-07-20T13:16:43-0400,quality_profiles,"[{""key"":""java-aetna-official-73943"",""language"":""java"",""name"":""Aetna Official"",""rulesUpdatedAt"":""2015-05-05T18:53:23+0000""}]",Details of quality profiles used during analysis
A1231,2015-03-23T12:33:05-0400,lines,53924,Lines
A1231,2015-07-29T17:56:37-0400,lines,40239,Lines
A1231,2015-03-23T12:33:05-0400,ncloc,25114,Non Commenting Lines of Code
A1231,2015-07-29T17:56:37-0400,ncloc,18612,Non Commenting Lines of Code
A1231,2015-03-23T12:33:05-0400,ncloc_language_distribution,java=25114,Non Commenting Lines of Code Distributed By Language
A1231,2015-07-29T17:56:37-0400,ncloc_language_distribution,java=18612,Non Commenting Lines of Code Distributed By Language
A1231,2015-03-23T12:33:05-0400,classes,334,Classes
A1231,2015-07-29T17:56:37-0400,classes,231,Classes
A1231,2015-03-23T12:33:05-0400,files,358,Number of files
A1231,2015-07-29T17:56:37-0400,files,231,Number of files
A1231,2015-03-23T12:33:05-0400,directories,152,Directories
A1231,2015-07-29T17:56:37-0400,directories,107,Directories
A1231,2015-03-23T12:33:05-0400,functions,1446,Functions
A1231,2015-07-29T17:56:37-0400,functions,963,Functions
A1231,2015-03-23T12:33:05-0400,accessors,832,Accessors
A1231,2015-07-29T17:56:37-0400,accessors,560,Accessors
A1231,2015-03-23T12:33:05-0400,statements,10246,Number of statements
A1231,2015-07-29T17:56:37-0400,statements,7789,Number of statements
A1231,2015-03-23T12:33:05-0400,public_api,1851,Public API
A1231,2015-07-29T17:56:37-0400,public_api,1270,Public API
A1231,2015-03-23T12:33:05-0400,comment_lines,5387,Number of comment lines
A1231,2015-07-29T17:56:37-0400,comment_lines,4003,Number of comment lines
A1231,2015-03-23T12:33:05-0400,comment_lines_density,17.7,Comments balanced by ncloc + comment lines
A1231,2015-07-29T17:56:37-0400,comment_lines_density,17.7,Comments balanced by ncloc + comment lines
A1231,2015-03-23T12:33:05-0400,public_documented_api_density,48.2,Public documented classes and functions balanced by ncloc
A1231,2015-07-29T17:56:37-0400,public_documented_api_density,50.6,Public documented classes and functions balanced by ncloc
A1231,2015-03-23T12:33:05-0400,public_undocumented_api,959,"Public undocumented classes, functions and variables"
A1231,2015-07-29T17:56:37-0400,public_undocumented_api,627,"Public undocumented classes, functions and variables"
A1231,2015-03-23T12:33:05-0400,complexity,3622,Cyclomatic complexity
A1231,2015-07-29T17:56:37-0400,complexity,2720,Cyclomatic complexity
A1231,2015-03-23T12:33:05-0400,file_complexity,10.9,Complexity average by file
A1231,2015-07-29T17:56:37-0400,file_complexity,11.8,Complexity average by file
A1231,2015-03-23T12:33:05-0400,class_complexity,10.8,Complexity average by class
A1231,2015-07-29T17:56:37-0400,class_complexity,11.8,Complexity average by class
A1231,2015-07-29T17:56:37-0400,complexity_in_functions,2720,Cyclomatic complexity in functions
A1231,2015-03-23T12:33:05-0400,function_complexity,2.5,Complexity average by function
A1231,2015-07-29T17:56:37-0400,function_complexity,2.8,Complexity average by function
A1231,2015-03-23T12:33:05-0400,function_complexity_distribution,1=1053;2=102;4=71;6=36;8=19;10=13;12=72,Functions distribution /complexity
A1231,2015-07-29T17:56:37-0400,function_complexity_distribution,1=677;2=64;4=54;6=29;8=15;10=9;12=63,Functions distribution /complexity
A1231,2015-03-23T12:33:05-0400,file_complexity_distribution,0=165;5=40;10=80;20=19;30=19;60=5;90=5,Files distribution /complexity
A1231,2015-07-29T17:56:37-0400,file_complexity_distribution,0=102;5=31;10=60;20=17;30=14;60=3;90=4,Files distribution /complexity
A1231,2015-03-23T12:33:05-0400,tests,0,Number of unit tests
A1231,2015-07-29T17:56:37-0400,tests,0,Number of unit tests
A1231,2015-03-23T12:33:05-0400,duplicated_lines,14370,Duplicated lines
A1231,2015-07-29T17:56:37-0400,duplicated_lines,7593,Duplicated lines
A1231,2015-03-23T12:33:05-0400,duplicated_blocks,434,Duplicated blocks
A1231,2015-07-29T17:56:37-0400,duplicated_blocks,287,Duplicated blocks
A1231,2015-03-23T12:33:05-0400,duplicated_files,159,Duplicated files
A1231,2015-07-29T17:56:37-0400,duplicated_files,93,Duplicated files
A1231,2015-03-23T12:33:05-0400,duplicated_lines_density,26.6,Duplicated lines balanced by statements
A1231,2015-07-29T17:56:37-0400,duplicated_lines_density,18.9,Duplicated lines balanced by statements
A1231,2015-03-23T12:33:05-0400,weighted_violations,40577,Weighted Issues
A1231,2015-07-29T17:56:37-0400,weighted_violations,23462,Weighted Issues
A1231,2015-03-23T12:33:05-0400,violations_density,0,Rules compliance
A1231,2015-07-29T17:56:37-0400,violations_density,0,Rules compliance
A1231,2015-03-23T12:33:05-0400,violations,20370,Issues
A1231,2015-07-29T17:56:37-0400,violations,13852,Issues
A1231,2015-03-23T12:33:05-0400,blocker_violations,0,Blocker issues
A1231,2015-07-29T17:56:37-0400,blocker_violations,0,Blocker issues
A1231,2015-03-23T12:33:05-0400,critical_violations,18,Critical issues
A1231,2015-07-29T17:56:37-0400,critical_violations,15,Critical issues
A1231,2015-03-23T12:33:05-0400,major_violations,10684,Major issues
A1231,2015-07-29T17:56:37-0400,major_violations,5255,Major issues
A1231,2015-03-23T12:33:05-0400,minor_violations,8435,Minor issues
A1231,2015-07-29T17:56:37-0400,minor_violations,7622,Minor issues
A1231,2015-03-23T12:33:05-0400,info_violations,1233,Info issues
