----------Proj-----------
prID,prStatus,StartDt,EndDt,prCap,PrimaryRel,PrimaryApp,actCostTot,workingFcst,pfourMarkBudg,markedBudg,actBudgVar,prePstDefTot,aetDefTot,defsPerMil,pstDefsPMil,prDom,prComp,baArchDevHrsPerDef,p4VelGateDt,actCostLabor,actCostHWSW,actCostKBC,PCRCt,invCateg,EBNCt,hrsTot,hrsTypeCons,hrsTypeFTE,hrsTypeKBC,hrsTypeOSVNear,hrsTypeOSVOff,hrsTypeOSVOn,hrsArch,hrsBA,hrsDev,hrsInf,hrsOther,hrsPM,hrsPS,hrsQA,hrsRsGeneric,hrsRsNamed,hrsDomA,hrsDomB,hrsDomF,hrsDomC,hrsDomD,hrsDomE,hrsDomS,hrsDomG,hrsDomH,hrsDomV,hrsDomT,hrsDomV2,hrsDomE2,hrsDomDD,hrsDomU,hrsDomW,hrsDomR,hrsDomZ,hrsDomI,hrsDomK,hrsDomL,hrsDomM,hrsDomOther,hrsDomN,hrsDomO,hrsDomP,hrsDomU2,expTeam,expPM,expBA,expArch,expDev,expQA,expInf,expPS,hrsKurTot,hrsBAArchDevOSVTot,hrsBAArchDevOffTot,pctBAArchDevOffsh,pr80PctDt,prStartDayOfYear
P261,Completed,06/04/2012,02/08/2013,allOther,,,211386.49,254047.5,213795.78,254047.5,0.832074671,34,6,160.842824,9.461342586,K,Y,199,09/10/2012,173986.49,0,37400,5,IC396,10,2451.9,293,1086,0,0,352.3,720.6,241,389.5,562,9.5,0,571.9,39.5,638.5,460.9,1991,0,117,6,0,0,1895,0,0,0,0,0,72,1,0,0,0,0,0,96,14,0,0.5,164.9,85.5,0,0,0,2321,701,1567,541,3876,4139,NA,4115,-0.75,222,92,0.08,12/01/2012,156
P104,Completed,01/02/2012,02/19/2013,agile,2012 MAY MAJOR,A9953 ,1258350.67,1257430.24,1257430.24,1257430.24,1.000731993,37,37,29.4035684,3.178764152,B,Y,328,02/08/2012,1258350.67,0,0,4,IC313,1,19039.8,984.7,6671.6,0,0,8477,2906.5,239,1327,10587.7,290.8,0,2377.5,46.8,4171,10620.8,8419,0,12796,28,0,0,9,0,0,0,0,0,5050.5,0,0,0,0,0,135,0,14,0,240,767.3,0,0,0,0,3615,3360,4097,4121,3637,3442,NA,4360,-1.02,7877,5723,0.47,05/01/2012,2
P417,Completed,02/06/2012,06/14/2013,allOther,2012 DEC MINOR,A2209 ,809329.67,787442.22,769205.98,787442.22,1.027795627,46,42,56.83716007,0,I,N,190,06/15/2012,787853.85,10514.25,10961.57,3,IC396,13,11950.1,0,2931.9,0,91.1,3543.7,5383.4,1003.8,2640,4320.5,209,4.8,871.1,58,2842.9,5474.1,6476,0,328,0,0,0,16,0,0,0,0,0,263,39,0,0,0,0,0,10684.4,36.5,0,1,363.7,218.5,0,0,0,3605,3508,3889,2900,3608,3301,NA,4019,-0.7,5794,1600,0.2,12/01/2012,37
P114,Completed,01/07/2013,11/07/2014,allOther,2013 SEP MINOR,A2209 ,1839795,1850815.44,1817097.62,1850815.44,0.99404563,29,27,15.76262573,0,I,N,657,07/17/2013,1794809.26,5325.75,39659.99,9,IC396,37,27730.6,0,6107.2,0,0,11803.4,9820,1176,5087,11486.9,314.5,12,1226.7,59.5,8368,15769.9,11960.7,0,482,0,0,0,46,0,0,0,0,0,755,4885,0,0,0,0,0,21095.6,22.5,0,5,403.5,36,0,0,0,2674,2927,1553,2882,3984,2902,NA,4090,-1.47,13233.4,5623.4,0.32,03/01/2014,7
P477,Completed,01/03/2012,02/25/2013,allOther,2012 AUG MAJOR,A375  ,1237253.5,1270729.17,500579,1285204,0.962690359,34,34,27.48022131,1.616483607,O,N,323,08/30/2012,1237253.5,0,0,13,IC192,2,18473.6,337,3822.2,0,165.5,8136,6012.9,1148.5,2402.5,7421.1,25.5,0,2540.6,147.7,4787.7,11288.7,7184.9,48,26,544.2,0,0,96,292,30,0,0,0,64,0,0,0,0,0,0,5,0,597.5,0,830,38.4,10355.4,5547.1,0,3393,3017,3969,1659,3993,4249,NA,4209,-0.57,8048.5,4660,0.42,11/01/2012,3
P797,Completed,01/03/2012,01/15/2013,allOther,2012 NOV MAJOR,A159  ,1440195.31,1440195,1519792,1519792,0.94762659,21,21,14.58135564,0,F,N,582,05/10/2012,1440195.31,0,0,3,IC307,3,22177.8,0,3521.8,0,365.8,13345.8,4944.4,561,1859.2,9801.8,97,0,1837.2,171.2,7850.4,15790.6,6387.2,0,0,15173.1,0,0,202,80,212.5,0,0,0,110,0,0,2314.6,8,0,0,86,0,0,0,1265,32.6,2662,32,0,3515,4280,3358,1467,4218,2024,NA,4156,0.09,10785.9,7561,0.62,11/01/2012,3
P658,Completed,01/03/2012,10/11/2013,allOther,2012 AUG MAJOR,A1918 ,1752985.97,1758160.27,1263927.88,1654744.75,1.05936941,258,207,147.1774472,0,L,N,75,,1751477.15,0,1508.82,18,IC576,20,26579.8,39,7218.9,0,0,12228.8,7093.1,1291.5,2366,11887.4,432.2,0,3021.3,148.8,7432.6,16030.3,10549.5,4085.8,7920.1,226,143,0,48,439.8,931,0,0,0,788.5,0,42,0,0,0,0,0,0,3920.4,1,882.7,169,6909.5,73,0,3144,3467,2088,2901,3442,4256,NA,4119,2.03,9824,6705.2,0.43,12/01/2012,3
P367,Completed,01/03/2012,06/07/2013,allOther,2012 SEP MINOR,A2687 ,1171367.96,1190951.51,976114.05,1190951.51,0.983556383,93,43,79.39435188,0.853702708,O,N,203,01/03/2012,1169982.14,0,1385.82,6,IC576,0,16966.7,111,3793.5,0,0,7056.2,6006,742.5,1759.6,6221.5,276.4,0,3155,89.3,4722.4,9884.6,7082.1,106,49,3,1069,0,8407,0,503.5,0,0,0,147.5,0,0,0,0,0,0,0,0,2014,0,485.4,0,4149.3,33,0,3168,3414,2688,3531,2788,4551,NA,3986,-0.83,5916,4122,0.47,12/01/2012,3
P670,Completed,04/02/2013,04/10/2014,allOther,2013 NOV MAJOR,A159  ,5571796.59,5696155,5149791,5558971,1.002307188,129,129,23.15231684,0.179475324,F,Y,379,07/30/2013,5401482.79,7596,162717.8,38,IC257,30,83210.6,50,12408.2,0,1238,42816.9,26697.5,2416,11694.4,34731.6,239.5,10,4853,982.3,28283.8,55978.5,27232.1,1037.5,9236.1,40272.4,0,0,0,30,54,0,0,0,700.8,0,0,22.5,2827.3,0,0,2156.5,52,840.4,556.2,3137.5,1328,17399.7,3559.7,0,3332,2933,3190,1874,4260,4015,NA,4124,-0.99,39912.3,22694.1,0.46,02/01/2014,92
P695,Completed,01/07/2013,03/25/2014,allOther,2013 AUG MAJOR,A2005 ,1197639.66,1217016,1166386,1248803,0.959030095,33,33,27.55419773,0.834975689,O,Y,283,05/03/2013,1165950.85,0,31688.81,13,IC257,15,17264.3,104.5,4214.4,20.5,1664,7047.7,4213.2,799.5,2335.9,6220.4,52.5,17,2226,300.5,5312.5,8778.8,8485.5,419,331.6,2655.8,0,0,0,71.5,46,0,0,0,0,0,7,0,2134.4,0,0,145.5,57.5,511.1,50,2299.4,0,8055.5,480,0,3683,3635,3688,3186,4228,3796,NA,4291,-0.04,7190.9,4389.7,0.47,08/01/2013,7
P142,Completed,08/02/2013,05/12/2014,allOther,2013 NOV MAJOR,A2005 ,450105.52,439478,564819,564819,0.796902229,13,13,28.88211635,0,F,Y,214,08/29/2013,434544.4,0,15561.12,12,IC257,9,6427.4,1,1235.2,0,80,3454,1657.2,124,503.2,2149,0,12,881,82.2,2676,4623,1804.4,51,452,2953.8,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,185,0,233,1139,783.6,415,0,3760,4484,2760,2394,3769,3873,NA,4064,0.76,2556.2,1482,0.53,12/01/2013,214
P228,Completed,01/04/2012,01/09/2013,allOther,2012 AUG MAJOR,A132  ,2331677.78,2345712.5,1753958,2345712.5,0.994016863,68,68,29.16354935,2.144378629,F,Y,288,03/22/2012,2307986.78,23691,0,12,IC313,29,35056.3,265.2,7888.2,0,0,16382.3,10520.6,202,3654.3,15717.1,46,0,3486.9,344.5,11605.5,20592.8,14463.5,0,3841.3,26465.3,0,0,0,0,0,0,0,0,150,0,3108.1,243.3,0,0,63,0,84,0,8,346,581.3,134,32,0,3029,3163,2416,661,3265,3626,NA,4237,-1.08,13085.4,8404,0.43,11/01/2012,4
P488,Completed,02/13/2012,10/04/2013,allOther,2013 AUG MAJOR,A94   ,720470.85,731940.22,678620,768959.22,0.936942859,9,8,12.49183086,1.387981207,F,Y,477,01/23/2013,707462.19,0,13008.66,4,IC313,0,10528.8,21,1868.2,0,0,5181.4,3458.2,285,781.1,2748.6,18,0,1378.5,176.1,5141.5,6451,4077.8,0,1223.8,8184,0,0,0,348.5,0,0,0,0,114.5,0,0,61,0,0,82,101,0,0,68.5,317.5,28,0,0,0,3361,3763,2320,183,3950,4421,NA,4428,4.71,2434.6,1227.6,0.32,08/01/2013,44
P255,Completed,10/29/2013,11/14/2014,hybrid,2014 MAY RELEASE 1,A159  ,666056.34,665531,450413,665531,1.000789355,28,27,42.03848581,0,F,Y,155,01/22/2014,658901.34,0,7155,12,IC313,0,9813.9,0,1519,0,0,5445,2849.9,40,510.4,3642,2,0,1242.5,0,4377,7312,2501.9,0,928,8196.9,0,0,0,0,0,0,0,0,315,0,0,0,0,0,272,0,0,0,80,22,0,0,0,0,4230,4290,3839,3202,4451,4497,NA,NA,-1.09,3669.4,2490,0.59,08/01/2014,302
P237,Completed,01/03/2012,01/14/2013,allOther,2012 AUG MAJOR,A2153 ,1368998.85,1419832.25,1115663.81,1481116.37,0.924302018,66,66,48.21041303,1.460921607,F,N,168,03/28/2012,1341968.85,27030,0,10,IC550,26,20083.1,0,4500.9,0,0,9183.2,6399,260,4313.8,6496.2,23,0,1796,139,7055.1,11864.1,8219,0,702.2,17707,0,0,0,0,0,0,0,0,244,0,0,337.8,0,0,0,0,0,0,62,976.3,34.8,19,0,0,2918,2944,2124,3749,4331,4671,NA,4332,-1.85,8065.7,4311.6,0.39,11/01/2012,3
P474,Completed,01/03/2012,03/14/2013,allOther,2012 NOV MAJOR,A149  ,1727616.72,1724452,1748209,1748209,0.988220928,112,112,64.82919429,1.157664184,L,Y,123,04/30/2012,1726681.72,935,0,5,IC150,0,26670.5,54,2674,0,1768,15958.8,6215.7,742,2210,10858.3,171,4,2168.4,76.8,10440,21266.9,5403.6,0,53,1213.5,0,0,42,0,24,0,0,0,219,0,0,0,0,0,0,0,0,23755.4,0,1105.6,0,258,0,0,2348,3722,551,2110,4134,4257,NA,4442,-1.4,13082.3,7631.5,0.55,11/01/2012,3
P540,Completed,02/20/2012,02/28/2013,allOther,2012 NOV MAJOR,A2447 ,1268583.99,1309170.31,1309170.31,1309170.31,0.968998441,41,41,32.31949979,0.788280483,K,N,286,06/28/2012,1262590.99,5993,0,1,IC108,28,18882.4,0,1908.3,0,592,8550,7832.1,1443.5,4371.5,5930,94.3,0,1891.3,99.5,5052.3,10842.9,8039.5,0,2451.5,11.3,0,0,20,0,0,0,0,0,626.5,0,4,0,0,0,0,1117,13128.8,414,0,346.1,157,606.2,0,0,2390,3557,1732,1986,4152,2643,NA,3952,-0.94,10296.5,4526,0.39,11/01/2012,51
P414,Completed,07/02/2012,07/11/2013,allOther,2013 FEB MAJOR,A2020 ,2462263.04,2527419.62,1456908.62,2692419.62,0.914516824,96,96,38.98852334,1.624521806,K,N,277,10/30/2012,2376147.09,36268,49847.95,3,IC108,7,37805,0,6133.8,36,718.1,21114.6,9802.5,1808.5,4629.7,20179.6,241.6,50,959,72.5,9864.1,26071.1,11733.9,0,3722,10,0,0,21.5,0,0,0,0,0,1753,0,0,0,0,0,0,9648.1,21582.1,0,1,684.5,94,288.8,0,0,2890,3269,3265,1211,3146,2696,4550,4185,-1.64,21709.2,13833.5,0.52,03/01/2013,184
P750,Completed,01/03/2012,01/15/2013,hybrid,2012 NOV MAJOR,A1925 ,570525.14,578752.57,578752.57,578752.57,0.985784201,26,26,45.57204964,0,A,N,109,04/24/2012,450246.14,78263,42016,3,IC225,0,6506.9,0,2146.9,0,0,2360,2000,137,365,2325,311,0,1384,94,1890.9,3733,2773.9,4050.5,0,0,0,0,33.5,0,68.5,0,0,0,25,0,15,0,0,0,0,0,0,1851.4,0,453,0,0,10,0,3690,3773,2132,4268,4240,3642,NA,3980,-0.84,1704,1466,0.52,11/01/2012,3
P459,Completed,01/23/2012,06/21/2013,allOther,(blank),A2628 ,2008476.58,2024230.13,2125874.83,2024230.13,0.99221751,23,23,11.45146537,0,I,N,732,05/18/2012,1782896.15,45907,179673.43,22,IC396,12,27257.4,506.5,8438.1,0,1309.1,10777.8,6225.9,2177,2916.8,11733.5,669,3,2654.1,118,6986,15787.9,11469.5,0,0,91,240,0,911.1,0,0,0,0,0,68,217,0,0,0,0,0,23554.5,46.5,0,8.5,1018.8,67,100,935,0,3231,4155,3712,656,3013,3454,4310,4013,-1.49,11734.3,6239,0.37,01/01/2013,23
P539,Completed,06/04/2012,10/25/2013,allOther,2013 JUN MAJOR,A2628 ,1549679.59,1588010.92,1491219.26,1588010.92,0.975862049,24,24,15.4870724,0,E,N,604,11/16/2012,1450925.51,76342.8,22411.28,9,IC396,7,22003.1,70.5,4815.8,0,980.7,9220,6916.1,1681.5,4149.1,8666,515,10,1789,129.5,5063,11166.7,10836.4,630.2,0,0,0,0,399.5,0,45,0,0,0,0,940.3,0,0,0,0,0,18485.3,8,145.1,0,522.7,52,195,580,0,3085,2603,3842,240,4034,3220,4358,4246,-0.15,11382.3,4625.2,0.32,06/01/2013,156
P513,Completed,05/01/2012,08/15/2013,allOther,2013 MAR MINOR,A1932 ,1177393.17,1407974,1751846.08,1393499,0.844918561,14,14,11.8906754,0,O,N,936,11/07/2012,1040635.55,0,136757.62,19,IC192,10,16179.7,0,2818.8,0,0,8555.2,4805.7,896.5,1940.8,10266.2,46.3,0,1283.7,27.5,1718.7,10716.7,5463,0,150.4,28,0,0,44.7,0,54,0,0,0,827.1,0,0,0,0,0,40,29,0,451,11,294.7,10,11183.8,3056,0,3030,3674,2878,926,4049,3510,NA,5031,1.29,11179.1,7539,0.58,03/01/2013,122
P475,Completed,03/05/2012,11/20/2013,allOther,2012 NOV MAJOR,A353  ,1625135.41,1717851,1642207,1778802,0.913612313,62,54,38.15066709,0.61533334,N,N,231,07/23/2012,1535304.39,0,89831.02,22,IC180,43,22432.3,107,5614.2,0,0,7634.2,9076.9,555.5,3276.3,8653.8,146,20,3907.6,229.7,5643.4,10501.8,11930.5,0,652,340.3,0,75,112,0,20,0,0,0,914.1,0,336,0,336,0,0,2117.7,35,1705.2,11.5,1695.2,10220.1,3862.2,0,0,2746,1440,2563,1657,4049,3796,4240,3977,2.34,8522.3,3943.8,0.32,06/01/2013,65
P780,Completed,01/04/2012,06/03/2013,allOther,2012 JUN MINOR,A2135 ,1355524.92,1381458.4,434394.39,1381458.4,0.981227462,130,130,95.90380677,7.377215905,U,N,108,03/12/2012,1347752.67,174,7598.25,14,IC111,20,20864.1,0,10380.9,0,0,6626.5,3856.7,671.7,991.5,12350.5,173.2,19,1777.1,86,4795.1,9088.4,11775.7,0,337.5,356,0,0,1253.5,0,0,0,0,0,0,0,0,17425.8,0,0,0,0,71.5,0,0,1407.3,12.5,0,0,0,3394,923,4138,4000,3708,3991,NA,3947,-0.9,6117.9,4145.9,0.3,01/01/2013,4
P580,Completed,09/01/2012,03/29/2013,hybrid,2012 NOV MAJOR,A894  ,1922665.56,1964813,1472270,1698540,1.131951888,50,50,26.00556282,0,A,Y,215,,1302702.56,613000,6963,21,IC257,0,18965.5,0,2092.6,0,1168,9840.1,5864.8,170.8,2910.2,7692.5,38,0,2870,25.5,5258.5,12170.9,6794.6,455,193,2204.5,0,0,36,0,94,0,0,0,0,82,155,7.8,3128.6,0,10,6,253,727,0,908.6,0,10325.5,379.5,0,3853,3904,3761,1366,4259,4849,NA,4000,-0.84,9968.4,5617,0.52,12/01/2012,245
P182,Completed,06/03/2013,11/10/2014,allOther,2014 FEB RELEASE 1,A2609 ,4036553.9,4033120,3562657,3972671,1.016080592,261,261,64.6591143,0.49547214,L,Y,174,08/27/2013,3957817.9,0,78736,14,IC257,24,61727.2,179,5664,0,2579.4,33868.6,19436.2,2180.5,9188.4,34139.2,432.3,10,3069,284.7,12423.1,43397.6,18329.6,37274.5,664.1,304,0,0,799,1395.1,690.3,0,22,0,0,0,345,0,2000,0,0,178,0,9461.3,0,669.3,74,7850.6,0,0,3216,3134,3012,2778,4025,4328,NA,4188,-0.16,41512.2,24545,0.54,02/01/2014,154
P321,Completed,10/01/2012,08/23/2013,allOther,2013 MAR MINOR,A2609 ,2844535.36,2841224,2592535,2945941,0.965577844,149,149,52.38113827,1.406205054,A,Y,194,11/29/2012,2797985.29,2656.5,43893.57,18,IC257,0,43797.4,20,6426.8,0,1119,24463.5,11768.1,752,4607.4,23544,374.8,13,2268.9,232,12005.3,30926,12871.4,20550.5,175,123.5,0,0,805.5,1976.5,73,0,0,0,107,0,172,0,224,0,0,112,0,6469.3,0,1408.7,12,7221,4367.4,0,2996,2104,3407,1852,2857,4669,NA,4074,-1.06,24352.8,16194.6,0.56,03/01/2013,275
P708,Completed,10/08/2012,01/30/2014,allOther,2013 AUG MAJOR,A2005 ,2879641.87,2674757,2113856,2113856,1.362269648,187,187,64.93863072,0.69453081,A,Y,136,01/28/2013,2836691.9,0,42949.97,12,IC257,0,43876.7,0,5596.4,0,776,27524,9980.3,758.5,3337.7,21346.8,148.5,10,3202.3,242,14830.9,33542.6,10334.1,697.5,124.5,116,70.1,0,0,0,214.5,0,0,0,0,0,71,0,3469,0,0,506,197,1939.6,0,1406.8,0,34575.7,489,0,3827,4010,3950,1244,4323,3579,NA,4121,-0.95,22940.9,16444.6,0.65,11/01/2013,282
P203,Completed,10/01/2012,04/18/2014,agile,2014 FEB RELEASE 1,A1874 ,3192350.16,3272729.28,3272729.28,3272729.28,0.975439728,65,65,20.36117492,0.313248845,P,N,468,09/19/2013,3117641.66,0,74708.5,14,IC153,26,48260.8,54,5946.8,0,1385,28187.6,12687.4,726,4911.8,24779.9,264.3,13,3185.2,307.6,14073,35059.1,13201.7,366,118,5,0,0,0.5,1944,195.2,0,116,0,38.1,0,120,0,0,0,0,0,2,1040.5,9.5,1502.2,40,5594.3,37169.5,0,3401,3674,2821,1425,4203,4220,NA,4288,-1.14,26758,17574.2,0.58,02/01/2014,275
P665,Completed,02/14/2012,05/30/2014,allOther,2013 MAY BCR,A2500 ,5352461.3,5345298.42,4822592.42,4553451.88,1.175473342,226,226,42.22356545,0.373659871,N,N,210,02/26/2013,4345397.59,37976,969087.71,26,IC180,14,69265.3,883.5,14195.9,0,0,37938.6,16247.3,4578,5778.1,37153.2,566.5,40,2471.8,84,18593.7,48919.1,20346.2,586,7238.9,232,0,0,334.1,41.8,0,60,0,0,1160,0,678,0,0,0,0,3673.2,158,28499.9,227.5,2376.5,23266.1,688.3,45,0,3142,3123,2914,1971,4055,3718,4307,4249,3.16,37183.4,25658.1,0.54,06/01/2013,45
P245,Completed,10/14/2013,12/31/2014,allOther,(blank),A133  ,6180324.1,5979693.36,3895359.36,5215826.36,1.184917532,257,257,41.58357973,0.485411437,N,N,159,02/14/2014,5671478.87,77000,431845.23,4,IC180,36,89192.5,695,18491.5,0,20,45866,24120,4003,5145,35149.5,444,16,3598,229,40608,65280,23912.5,1297,4048,2720,0,0,375,0,41,0,626,0,341,35,5435,23,0,0,0,10184,887,20707.5,15,1316,38936,1118,1088,0,3830,3534,3788,3323,4226,3796,NA,4282,0.03,31639,19629,0.44,11/01/2014,287
P109,Completed,12/17/2012,04/29/2014,allOther,2013 JUN MAJOR,A2005 ,5156559.5,4206222,3687391,4151425,1.242117947,322,316,62.44473665,0.581783261,O,Y,138,05/30/2013,4904578.6,0,251980.9,28,IC257,40,73145.6,252,11329.6,177,1417,38447.5,21522.5,1556,11174.9,31194.2,389.4,9,8361.5,244.3,20216.3,46843.3,26302.3,238,7791.3,127,2026.6,0,421.5,2094,6562.5,113,0,0,1407,0,99,668,7210.2,0,0,0,70,1589.2,2,5652.1,346,19811.4,16916.8,0,3580,3773,3278,2554,4156,4372,NA,4148,-0.9,35958.5,22985.6,0.52,09/01/2013,352
